gene,ctd,number of occurrences
LOC105373714,NF,1
PRSS1,NDE,1
LOC105375488,NF,1
INTU,NDE,1
LOC105379077,NF,1
TTL,NDE,1
LOC107986181,NF,1
PRR3,NDE,1
QPCT,NDE,1
FAM71D,NF,1
LOC105371351,NF,1
LOC105374481,NF,1
INIP,NDE,1
GRK5,NDE,1
TCERG1L,NDE,1
FAT2,NF,1
LINC02338,NF,1
PRKCA-AS1,NF,1
MAPK1,NDE,1
LINC01374,NF,1
PLPP4,NDE,1
AIPL1,NF,1
LOC105374407,NF,1
MCM5,NDE,1
HECTD2-AS1,NF,1
SERPINI1,NDE,1
LOC105373716,NF,1
LOC105376001,NF,1
XCR1,NDE,1
SWAP70,NDE,1
ACSS1,NDE,1
LOC107984664,NF,1
LAMB1,NDE,1
USP34,NDE,1
LOC105373449,NF,1
LOC107984618,NF,1
OPTN,NDE,1
ADGRF1,NDE,1
SLC25A25-AS1,NF,1
LOC107987088,NF,1
PSPC1,NDE,1
C7orf57,NF,1
LOC107986640,NF,1
RGS13,NDE,1
RNF103-CHMP3,NF,1
LOC105374655,NF,1
STPG2,NF,1
DIP2B,NDE,1
LINC02252,NF,1
COMMD10,NDE,1
PLA2G2D,NDE,1
UBQLN1,NDE,1
LOC105377609,NF,1
IQCA1,NDE,1
LOC105378521,NF,1
EPHX2,NDE,1
LOC105375366,NF,1
STAG1,NDE,1
F2R,NDE,1
C20orf194,NF,1
WBP2NL,NDE,1
LOC107986973,NF,1
MIR1224,NDE,1
ADD2,NDE,1
LOC102723922,NF,1
THOC1,NDE,1
LOC105371332,NF,1
CHRNA7,NDE,1
UST-AS1,NF,1
LOC105372491,NF,1
KCNT1,NDE,1
PANX1,NDE,1
LOC105377981,NF,1
POLE4,NDE,1
LOC105375633,NF,1
ZNF416,NF,1
LOC107986857,NF,1
LEKR1,NDE,1
HTT,NDE,1
PIP4K2A,NDE,1
LOC105378333,NF,1
ASB2,NDE,1
HBB,NDE,1
HMBS,NDE,1
LOC105370583,NF,1
TMEM74B,NDE,1
LOC105372790,NF,1
LOC101928196,NF,1
LOC105370115,NF,1
LOC105376924,NF,1
ZNF79,NDE,1
ASS1,NDE,1
LOC101927200,NF,1
MIER1,NDE,1
PLEKHH1,NDE,1
ZNF534,NF,1
LY86,NDE,1
C11orf42,NF,1
LOC107986825,NF,1
SAMD13,NDE,1
LOC105376650,NF,1
S100B,NDE,1
ARHGEF10,NDE,1
MADD,NDE,1
BARX2,NDE,1
MAP3K19,NF,1
LOC101927392,NF,1
RAB6C-AS1,NF,1
RIC3,NF,1
LOC105379118,NF,1
LINC02118,NF,1
LIMA1,NDE,1
TDRD3,NDE,1
LOC105376639,NF,1
LOC105377098,NF,1
PRCC,NDE,1
LOC107985243,NF,1
LOC107984964,NF,1
C1orf116,NF,1
SRFBP1,NDE,1
PXDN,NDE,1
ARHGEF26-AS1,NF,1
LOC101927548,NF,1
LOC105378360,NF,1
RSBN1,NDE,1
STRIP1,NDE,1
IL10RB,NDE,1
LOC105370283,NF,1
AGAP3,NDE,1
ADGRG5,NF,1
LOC101929295,NF,1
OVGP1,NDE,1
FBXL2,NDE,1
LOC339902,NF,1
LOC101928333,NF,1
FMOD,NDE,1
CDC73,NDE,1
CRBN,NDE,1
CNIH3,NDE,1
LOC101928191,NF,1
LCLAT1,NDE,1
LINC01378,NF,1
LOC102724104,NF,1
LOC105378027,NF,1
LOC102724533,NF,1
SKP1,NDE,1
CHRNA2,NDE,1
LOC105374754,NF,1
LOC107986649,NF,1
KRT76,NDE,1
DDX19B,NDE,1
LOC105375145,NF,1
LITAF,NDE,1
CPSF2,NDE,1
DYTN,NF,1
CYB5A,NDE,1
CAMSAP2,NDE,1
ZSCAN26,NDE,1
FAM47E,NF,1
ZFYVE9,NDE,1
LOC102724289,NF,1
CTLA4,NF,1
IL37,NDE,1
NEK6,NDE,1
LOC107986007,NF,1
LOC105374492,NF,1
FRG1-DT,NF,1
LINC02267,NF,1
ZNRF1,NDE,1
LOC105370000,NF,1
KCNK2,NDE,1
SNX30,NDE,1
CADM2-AS2,NF,1
LOC105377540,NF,1
MAGEB6,NF,1
PABPC4,NDE,1
LOC105370672,NF,1
LOC105377712,NF,1
SUPT5H,NDE,1
SPRR2D,NDE,1
ZNF277,NDE,1
CCDC83,NDE,1
STAU2-AS1,NF,1
SMARCC2,NF,1
LOC107987139,NF,1
LOC105370650,NF,1
GCSH,NDE,1
ERAP2,NDE,1
SPATA9,NF,1
DPY19L2P1,NF,1
CNTLN,NDE,1
NSL1,NDE,1
LRP8,NDE,1
LOC105372256,NF,1
RELA,NDE,1
VTCN1,NDE,1
E2F4,NDE,1
DNAAF5,NDE,1
LOC105379123,NF,1
LINC01648,NF,1
XPNPEP3,NDE,1
LINC01591,NF,1
HIPK1,NDE,1
KIF21B,NDE,1
LOC105377558,NF,1
FIGLA,NF,1
BFSP2,NDE,1
SLC16A12,NDE,1
PDGFRL,NDE,1
TH2LCRR,NF,1
CNNM1,NF,1
LOC105377445,NF,1
NORAD,NDE,1
DCTN6,NDE,1
LOC100506990,NF,1
LOC105370236,NF,1
LOC107986022,NF,1
NR4A1,NDE,1
NID1,NDE,1
ROR2,NDE,1
LOC107984704,NF,1
WDR53,NDE,1
LOC105369983,NF,1
LOC105371456,NF,1
C8orf46,NF,1
LOC105377698,NF,1
NNT,NDE,1
LOC105374970,NF,1
LINC00535,NDE,1
LYPD6,NDE,1
CDKL1,NDE,1
ESR1,NDE,1
LOC101928134,NF,1
RNFT2,NDE,1
RIC8B,NDE,1
PTPN22,NF,1
LINC01358,NF,1
TMEM181,NDE,1
MRRF,NDE,1
LOC105369999,NF,1
TUB,NDE,1
CASC4,NDE,1
LOC101929662,NF,1
SORL1,NDE,1
OLFML3,NDE,1
AASS,NDE,1
CDKN3,NDE,1
LINC02291,NF,1
MAPK8,NDE,1
TATDN3,NDE,1
NUDT3,NDE,1
LOC100499489,NF,1
LOC105376587,NF,1
MTHFD1L,NDE,1
DEPDC4,NDE,1
LOC105371082,NF,1
MARCH10,NF,1
LOC102724297,NF,1
LOC105370315,NF,1
LRP5L,NDE,1
LOC100507291,NF,1
LOC107986420,NF,1
LOC105372803,NF,1
LINC01793,NF,1
ACTR2,NDE,1
LOC105371693,NF,1
PDLIM3,NDE,1
LINC01081,NF,1
LOC100130744,NF,1
B4GALNT3,NF,1
TSHZ1,NDE,1
LOC107984676,NF,1
LOC105373240,NF,1
UBE2R2,NF,1
GALK2,NDE,1
LOC102725148,NF,1
LOC105370175,NF,1
PLA2G4C,NDE,1
CPB2,NDE,1
FAM160A2,NDE,1
FLNB-AS1,NF,1
ADA2,NDE,1
C5,NDE,1
SOX1-OT,NF,1
LINC01435,NF,1
FAM53A,NF,1
UBE2J1,NDE,1
CLK3,NDE,1
SYNPO2L,NF,1
ADAMTS5,NDE,1
LOC105369719,NF,1
LOC105375220,NF,1
SCD5,NDE,1
LOC105374439,NF,1
TBC1D32,NDE,1
RAB6C,NDE,1
SELENOO,NDE,1
LINC01504,NDE,1
LINC01258,NF,1
LOC105369575,NF,1
KLHDC8A,NDE,1
ABCB9,NDE,1
GACAT1,NF,1
Type 1 Diabetes
LOC101929163,NF,130373
LOC105379664,NF,129767
LOC105379656,NF,129767
LY6G6C,NDE,122207
VARS,NDE,112428
LSM2,NDE,112428
AGPAT1,NDE,110916
HCG21,NF,107891
DPCR1,NDE,107087
LOC105379642,NF,104352
LOC107987454,NF,104352
LOC107987429,NF,103764
ATP6V1G2-DDX39B,NF,83899
DDX39B,NDE,83581
DDR1,NDE,79467
MIR4640,NF,79467
MCCD1,NF,72291
GPSM3,NDE,72140
LOC105375019,NF,71910
ABHD16A,NDE,71910
MPIG6B,NDE,67974
LOC100287329,NF,67436
LTA,NDE,67270
TNF,NF,67110
ATF6B,NDE,64946
NELFE,NDE,62777
HLA-DOB,NDE,56744
CFB,NDE,56329
C6orf10,NF,54608
C6orf25,NF,54233
C2,NDE,50800
HLA-DRA,NDE,48700
PSORS1C1,NF,48351
BTNL2,NDE,47913
EHMT2,NDE,42487
ZNF165,NDE,41211
OR5V1,NDE,40674
GTF2H4,NDE,40625
SKIV2L,NDE,39939
ZSCAN12P1,NF,39917
BRD2,NDE,39759
NOTCH4,NDE,39247
LRRC31,NDE,37563
unknown,NF,37453
PSORS1C3,NDE,36788
MICA-AS1,NF,36232
TRIM31-AS1,NF,35647
TRIM31,NDE,35647
SNORD32B,NF,34922
HIST1H2BF,NDE,34459
HIST1H3D,NDE,34459
HIST1H2AD,NDE,34459
ATAT1,NDE,33567
TAP2,NDE,32346
HCG17,NF,32346
LINC01149,NF,32227
MICA,NDE,31949
LINC00243,NF,29001
HIST1H3I,NDE,28743
HLA-L,NF,27527
FLOT1,NDE,26294
LOC107987459,NF,26273
LOC107987449,NF,26273
HCG20,NF,25641
HLA-DMA,NDE,25283
HIST1H4L,NDE,25116
LINC02570,NF,24781
LY6G5B,NDE,24016
MSH5-SAPCD1,NF,23698
MICB-DT,NF,23554
PSMB9,NDE,23037
HLA-DMB,NDE,22331
C6orf15,NF,22111
LRRC29,NDE,21790
TMEM208,NDE,21787
LOC105369155,NF,21787
LST1,NDE,21306
NCR3,NDE,21306
HLA-DQB2,NF,21143
LOC101928005,NF,20464
MYOT,NDE,20464
LOC100294145,NF,19720
RHOT1,NDE,19477
LOC107984146,NF,19452
MSH5,NDE,19438
ARGFXP2,NF,19300
CDSN,NDE,17534
HCG23,NF,16714
MCM2,NDE,16455
LOC107986126,NF,16455
LOC105379641,NF,16182
LOC105375015,NF,15431
OR12D3,NF,15203
LOC107987453,NF,14894
LOC105375008,NF,14605
PHTF1,NDE,14484
LOC101927851,NF,14443
LOC105373211,NF,14443
MAGEA8,NF,14318
MAGEA8-AS1,NF,14318
TUBB,NDE,13450
NIP7,NDE,13245
COG8,NDE,13245
NUP155,NDE,13045
LMLN2,NF,12935
LOC107984665,NF,12935
PITPNM1,NDE,12002
CDK2AP2,NDE,12002
HLA-DQA2,NF,11516
TRIM26,NDE,11197
TBRG4,NDE,11183
PRRC2A,NDE,10789
ARFGEF3,NDE,10776
MUC22,NF,10756
IFNL2,NF,10482
PBOV1,NF,10434
TRIM10,NDE,10434
SNORA38,NF,10382
CABLES1,NDE,10377
LOC105372022,NF,10295
MAPKAP1,NDE,10294
SMIM2-AS1,NF,10132
SMIM2-IT1,NF,10132
SMIM2,NF,10132
LINC00390,NF,10132
PIH1D2,NDE,9934
LOC102723468,NF,9892
LOC107984026,NF,9337
ARMC8,NDE,9303
SNORA5A,NDE,9238
SNORA5C,NF,9238
LOC105371888,NF,9017
MIR188,NDE,8984
MIR532,NDE,8984
CLCN5,NDE,8984
LOC100996716,NF,8836
LOC653513,NF,8836
POU5F1,NDE,8798
SCG5,NDE,8661
HSPA1L,NDE,8634
LINC02571,NF,8612
LINC02411,NF,8523
LOC102723955,NF,8312
LRRC37B,NF,8258
LOC105371406,NF,8253
LOC105372275,NF,8162
ZNF20,NF,8160
ZNF625-ZNF20,NF,8160
GCOM1,NDE,8071
RCN2,NDE,8061
POLR2M,NDE,8008
SFTA2,NDE,7959
AIF1,NDE,7739
VKORC1,NDE,7717
PRSS53,NDE,7717
LOC105379655,NF,7660
OSGEPL1,NDE,7507
DLG4,NDE,7416
NACC2,NDE,7337
LOC105376322,NF,7335
BAG6,NDE,7278
MGC4859,NF,7276
HCG26,NF,7238
SYP,NDE,7231
OR11A1,NDE,7218
LOC100131472,NF,7206
OR2H1,NDE,7154
SHC1,NDE,7097
CKS1B,NDE,7097
PODXL2,NDE,7065
ANKRD26P1,NF,7019
LOC107987427,NF,7005
LOC107987452,NF,7003
LOC107987440,NF,7003
LOC107987443,NF,7003
LOC107987447,NF,7003
LOC105379663,NF,7003
LOC107984048,NF,6994
LOC105370756,NF,6994
TRERF1,NDE,6956
SLC4A11,NDE,6741
LOC105374695,NF,6729
ABCC12,NDE,6686
MIR3135B,NF,6616
LOC105375061,NF,6572
TRNP1,NDE,6562
OSGEPL1-AS1,NF,6432
GPN2,NDE,6263
DSTNP2,NF,6257
LOC105369632,NF,6257
APOBEC3F,NF,6221
APOBEC3D,NF,6221
HCG22,NF,6169
DNAJB9,NDE,6120
FCAR,NDE,5994
LOC105374894,NF,5957
ARHGAP5,NDE,5955
LOC105375701,NF,5953
LOC105372739,NF,5944
HOXA-AS3,NF,5941
HOXA5,NDE,5941
HOXA3,NDE,5941
CDR2L,NDE,5893
PPP1R3F,NDE,5850
LOC105374895,NF,5826
BRD3OS,NF,5822
LOC105375021,NF,5798
FICD,NDE,5750
LOC100129636,NF,5746
NPHP3-ACAD11,NDE,5737
UBA5,NDE,5720
MIR365A,NF,5697
MIR193BHG,NF,5697
MFSD13B,NF,5631
LOC105371260,NF,5567
LIX1L,NDE,5567
ZBED9,NDE,5525
ZFP57,NDE,5513
BPIFA2,NDE,5499
MIR8079,NF,5426
COMMD3,NDE,5416
COMMD3-BMI1,NF,5416
OR6N1,NDE,5416
LOC105375330,NF,5374
KCNT2,NDE,5373
LOC100505942,NF,5314
LMNB2,NDE,5306
MIR1236,NF,5290
LOC105377205,NF,5272
PLCL1,NDE,5224
LOC105373828,NF,5218
LOC100506639,NF,5191
LOC100132356,NF,5191
LOC648987,NF,5191
ADAMTSL4-AS1,NF,5187
PRH1,NDE,5145
PRH1-TAS2R14,NF,5145
PRH1-PRR4,NF,5145
PKLR,NDE,5139
SNHG14,NF,5069
MIR4735,NF,5065
OR6K6,NDE,5057
GTF2IP7,NF,4989
TCF19,NDE,4943
PPIF,NDE,4930
ZBTB24,NDE,4928
DCAF8,NDE,4926
IFI16,NDE,4924
LOC105369876,NF,4916
LOC105374357,NF,4914
MPG,NDE,4909
DBF4B,NDE,4872
LOC107985044,NF,4870
CDC14B,NDE,4809
NXF3,NDE,4798
TAS2R50,NF,4787
LOC105375012,NF,4778
PCDHGA2,NDE,4776
PCDHGA3,NF,4776
PCDHGA1,NDE,4776
PYHIN1,NDE,4741
IBA57,NDE,4730
KIAA1217,NDE,4719
LOC107984337,NF,4712
NRXN2,NDE,4712
SNORD115-39,NF,4698
LOC107984537,NF,4694
FAM234B,NDE,4683
LINC01247,NF,4677
TCF7L1,NDE,4646
ACACA,NDE,4641
SNORD70B,NF,4632
LOC105372371,NF,4632
NOP58,NDE,4632
NAA25,NDE,4626
CAPSL,NDE,4568
GPRC5D-AS1,NF,4568
LOC101928324,NF,4564
DHDDS,NDE,4564
PCDHGB3,NDE,4512
PCDHGA4,NF,4512
PCDHGA5,NDE,4512
PCDHGA8,NDE,4512
PCDHGA7,NDE,4512
PCDHGB2,NDE,4512
PCDHGB4,NDE,4512
PCDHGA6,NF,4512
PCDHGB1,NF,4512
C17orf78,NF,4505
LOC107985189,NF,4484
VIM,NDE,4469
POP3,NF,4449
IL6R,NDE,4427
LOC101928101,NF,4427
LOC100287049,NF,4409
CDK16,NDE,4323
RAD21,NDE,4320
LOC105376455,NF,4319
ZBED4,NDE,4289
MCPH1,NDE,4278
SAPCD1,NDE,4260
LINC00842,NF,4250
MIR25,NDE,4247
MIR93,NDE,4247
MCM7,NDE,4247
SALL3,NDE,4227
C1orf185,NF,4209
GPRIN2,NDE,4195
DKKL1,NDE,4188
TEAD2,NDE,4188
LOC105370269,NF,4154
LOC105371907,NF,4145
TRH,NDE,4141
ACOD1,NDE,4094
PPEF1,NDE,4093
HLA-DOA,NDE,4083
TMEM86A,NDE,4077
LOC107985364,NF,4054
ATG16L2,NDE,4045
EHBP1L1,NDE,4044
STAR,NDE,4034
LOC100287015,NF,4030
DYRK1A,NDE,4020
FBXL13,NDE,4017
ZNRD1ASP,NF,4005
PGA5,NDE,3994
HCFC1,NDE,3963
MTFR2,NDE,3938
LRRC17,NDE,3932
PP2672,NF,3927
LOC100379224,NF,3908
ZNF224,NF,3908
TRIM40,NDE,3907
LOC105375602,NF,3906
LOC105375603,NF,3906
LOC105372797,NF,3894
TMEM39B,NDE,3873
CSTF2,NDE,3864
LOC105379292,NF,3861
DUS2,NDE,3831
SLC17A1,NDE,3782
RIN2,NDE,3777
HIST1H2AH,NDE,3773
HIST1H2BK,NDE,3773
MIR3143,NF,3773
LOC107986580,NF,3771
LOC105373399,NF,3763
GPRC5D,NDE,3743
LINC01877,NF,3720
LOC105378199,NF,3710
DEFB135,NF,3693
LOC107987276,NF,3693
LOC107985964,NF,3670
LINC01117,NF,3670
HLA-DPB1,NDE,3666
LOC107986986,NF,3633
ZNF251,NDE,3633
HTR3B,NDE,3629
UGT1A5,NDE,3607
UGT1A8,NDE,3607
UGT1A9,NDE,3607
UGT1A7,NDE,3607
UGT1A6,NDE,3607
UGT1A10,NDE,3607
LINC01518,NF,3606
UGT1A4,NDE,3602
UGT1A3,NDE,3600
UGT1A1,NDE,3599
LOC100506406,NF,3585
SCARA3,NDE,3570
STAT2,NDE,3562
LRCH3,NDE,3555
LOC105374310,NF,3555
OR1A2,NF,3550
LOC105369140,NF,3531
MARS,NDE,3498
C6orf47,NF,3471
LOC105373351,NF,3456
PPEF1-AS1,NF,3442
NAT8,NDE,3424
S100P,NDE,3424
MIR3622B,NF,3410
PPFIA4,NDE,3397
LOC105371687,NF,3394
LOC105372579,NF,3367
LOC105372580,NF,3367
ACTA2,NDE,3362
GAPVD1,NDE,3362
CXADR,NDE,3332
CCDC13,NDE,3325
ST3GAL2,NDE,3321
CCDC9,NDE,3314
LOC105372473,NF,3303
ZNF835,NF,3303
CA4,NDE,3302
HLA-DPA1,NDE,3295
PRAME,NDE,3288
ASMTL,NDE,3257
YPEL4,NDE,3254
LOC105374392,NF,3214
OR1L3,NF,3213
SLC9B2,NDE,3194
RBM22,NDE,3156
BTG3,NDE,3156
BEAN1,NDE,3144
LOC107984820,NF,3140
ATP8B1,NDE,3118
ACTA2-AS1,NF,3116
LOC105372141,NF,3111
STATH,NDE,3111
GS1-279B7.1,NF,3074
LOC102724897,NF,3074
SPG21,NDE,3064
LOC105374489,NF,3049
LACRT,NF,3043
NRG1,NDE,3033
TMEM27,NDE,3006
CA5BP1,NF,3006
SCO2,NDE,2999
VAC14,NDE,2989
COMMD1,NDE,2970
ICAM2,NDE,2967
LOC105374060,NF,2940
LOC101926968,NF,2936
RAD51L3-RFFL,NF,2931
PRR29,NDE,2929
SHCBP1,NDE,2928
SDHD,NDE,2914
TIMM8B,NDE,2914
LOC107986062,NF,2876
POLA2,NDE,2859
AP5M1,NDE,2842
IL12B,NDE,2842
HELQ,NDE,2837
LOC105379397,NF,2835
LOC107986469,NF,2832
LOC107986962,NF,2826
LOC107986961,NF,2826
GRHL2,NDE,2826
SRGAP1,NDE,2824
LOC105377459,NF,2807
RAB3GAP1,NDE,2803
SNORA40B,NF,2803
HCG18,NDE,2802
E2F3,NDE,2800
LINC02550,NF,2780
CCDC13-AS1,NF,2776
DGCR5,NF,2773
DGCR9,NF,2771
LOC105370310,NF,2763
TYMP,NDE,2763
LOC107985768,NF,2756
CD160,NDE,2740
VAC14-AS1,NF,2740
LOC105378927,NF,2735
HARS2,NDE,2716
HARS,NDE,2716
DNAJA4,NDE,2708
LOC105370910,NF,2708
LINC01757,NF,2699
TCF7L1-IT1,NF,2675
GUSBP5,NF,2664
LOC105375010,NF,2661
ZNF7,NF,2623
COMMD5,NDE,2623
TAP1,NDE,2619
SLC22A6,NDE,2618
GYPE,NF,2615
BCDIN3D-AS1,NF,2603
NCKAP5L,NDE,2603
LOC101926956,NF,2600
VARS2,NDE,2599
LOC105369798,NF,2597
CCHCR1,NDE,2591
KDM1A,NDE,2586
LOC100507403,NF,2575
LOC105373528,NF,2574
IPO4,NDE,2574
LOC102724084,NF,2561
LOC105369298,NF,2551
HCG24,NF,2545
LOC101927762,NF,2541
UPF3B,NDE,2505
HNRNPA2B1,NDE,2504
LOC105370475,NF,2499
DLX1,NDE,2497
CHGA,NDE,2490
LOC101927026,NF,2476
TSFM,NDE,2474
LOC102724859,NF,2470
SGF29,NDE,2470
FUK,NDE,2465
RPS21,NDE,2462
LOC105375005,NF,2450
C9orf16,NF,2440
GGA3,NDE,2439
LOC105371200,NF,2431
LSAMP,NDE,2421
C5orf64,NF,2418
FAM126B,NDE,2418
LOC105369701,NF,2397
SELENOO,NDE,2390
CDCA3,NDE,2381
MIR4535,NF,2370
CXCR1,NDE,2369
SCCPDH,NDE,2368
LOC105374052,NF,2362
ITIH6,NF,2343
LOC105371360,NF,2324
RFFL,NDE,2323
LINC00550,NDE,2319
LOC105370254,NF,2319
APOC1,NDE,2311
C5orf64-AS1,NF,2309
LOC107985373,NF,2301
LOC105371075,NF,2293
NDEL1,NDE,2291
DUT,NDE,2284
LOC105369771,NF,2279
PROX1,NDE,2257
LOC105371445,NF,2250
LOC105371952,NF,2249
CLUL1,NDE,2249
CCDC146,NDE,2241
BIN3,NDE,2240
RFC4,NDE,2239
EIF4A2,NDE,2239
RUNDC1,NDE,2239
ATP5MC2,NF,2235
LOC105377559,NF,2227
OR52A1,NDE,2220
BIN3-IT1,NF,2209
LOC105374701,NF,2197
KCNIP4,NDE,2190
PYGL,NDE,2185
PPP2R5B,NDE,2183
TLR8-AS1,NF,2177
TLR8,NDE,2177
SEPT7-AS1,NF,2161
ACSM6,NF,2139
AGER,NDE,2139
ERBB2,NDE,2137
ABT1,NDE,2136
LINC01739,NF,2131
MIR4419A,NF,2127
LOC105372593,NF,2121
LOC105370492,NF,2117
LINC02220,NF,2116
MUC21,NF,2113
KCNIP4-IT1,NF,2106
COL20A1,NDE,2092
OR2B3,NF,2092
ZKSCAN4,NDE,2082
ANKK1,NDE,2077
TSPEAR,NDE,2075
MIR190B,NDE,2071
TMEM87A,NDE,2070
POLD1,NDE,2055
NUP85,NDE,2047
LOC105378334,NF,2044
LOC107985694,NF,2031
LIG4,NDE,2028
MTG1,NDE,2026
SRCAP,NDE,2018
TRUB2,NDE,2017
LRRC37A3,NF,2016
TAF1L,NDE,2015
NRG1-IT3,NF,2011
LOC400927-CSNK1E,NF,2007
TAPT1,NDE,2005
PFKFB2,NDE,2003
LOC107985352,NF,1995
ANKRD30BL,NF,1980
C19orf48,NF,1972
LOC102546294,NF,1970
GSTO2,NDE,1967
EPHX4,NF,1962
MRPS7,NDE,1962
LOC107986187,NF,1961
GPR135,NDE,1958
LOC730183,NF,1955
LOC105378319,NF,1954
RNF39,NDE,1952
FAM19A5,NDE,1951
LOC105374643,NF,1949
AR,NDE,1943
SNORA5B,NF,1941
TXN,NDE,1939
FGL2,NDE,1938
LOC105375237,NF,1938
LOC102723825,NF,1914
FAAHP1,NF,1914
PIP5K1A,NDE,1911
ITGB7,NDE,1906
NOX5,NDE,1902
NEUROD4,NDE,1894
AFF1,NDE,1893
LOC101928622,NF,1883
LOC105373601,NF,1883
MYLK3,NDE,1882
CDK9,NDE,1872
SLIT3,NDE,1862
GEMIN7-AS1,NF,1857
GEMIN7,NDE,1857
PPP1R37,NDE,1857
LOC105373083,NF,1856
LOC105373417,NF,1853
LOC105377320,NF,1853
APOM,NDE,1844
HLA-F,NDE,1842
HLA-F-AS1,NF,1837
C9orf152,NF,1837
LOC101926959,NF,1835
HSF4,NDE,1833
TRADD,NDE,1833
FBXL8,NDE,1833
BTN2A1,NF,1826
USB1,NDE,1824
LOC105372155,NF,1824
LOC105371276,NF,1816
LOC105372924,NF,1814
C1orf167,NF,1812
LOC101927480,NF,1808
IPO13,NDE,1806
LOC101929609,NF,1806
LOC107985000,NF,1805
OR5D14,NF,1804
TMED5,NDE,1799
LOC101929006,NF,1787
DYNLT3,NDE,1786
LOC105371486,NF,1782
RTN4RL1,NDE,1782
LOC105371485,NF,1782
RAB10,NDE,1781
SPINK9,NF,1781
LOC107986777,NF,1781
LOC105374333,NF,1781
YOD1,NDE,1776
LOC105373835,NF,1775
VAMP3,NDE,1773
ARHGAP24,NDE,1772
LOC101929340,NF,1770
LOC102724659,NF,1769
PTGES3L-AARSD1,NF,1767
PTGES3L,NF,1767
PLXND1,NDE,1762
LOC107985511,NF,1760
LINC01543,NF,1750
CCDC188,NDE,1748
C11orf54,NF,1742
TAF1D,NDE,1741
LOC102724579,NF,1730
RANBP2,NDE,1728
FBF1,NDE,1723
GSTO1,NDE,1722
KIF5C,NDE,1721
NPY,NDE,1715
FAM3A,NF,1708
LOC101927066,NF,1706
LOC105372683,NF,1704
LOC107984687,NF,1703
PPP1R11,NDE,1703
LOC285819,NF,1696
LOC107984719,NF,1688
ZNF311,NF,1687
SH3RF3,NDE,1682
ZNF230,NDE,1675
SKINT1L,NF,1673
LOC105370757,NF,1667
LOC105376580,NF,1659
C22orf39,NF,1657
LINC01384,NF,1652
SH3RF3-AS1,NF,1651
LOC105379778,NF,1649
MAP3K5,NDE,1649
LOC102723324,NF,1644
LOC107986471,NF,1643
C1orf194,NF,1642
C16orf70,NF,1637
LOC101928063,NF,1637
AARD,NDE,1633
KRT2,NDE,1630
LINC01700,NF,1630
TMEM167A,NDE,1626
CELF1,NDE,1624
POLR2A,NDE,1623
ARHGEF26,NDE,1622
SLC35G6,NDE,1620
ZBTB4,NDE,1620
TONSL,NDE,1619
TONSL-AS1,NF,1619
ING2,NDE,1613
E2F8,NDE,1600
LIPE-AS1,NF,1592
CAND1.11,NF,1591
LOC101928429,NF,1582
ZNF225,NF,1576
ATOH8,NDE,1575
LOC105374167,NF,1572
SCARNA18,NF,1563
PLTP,NDE,1557
ZG16,NDE,1549
LOC105375655,NF,1546
C16orf89,NF,1541
KEL,NDE,1541
RTFDC1,NDE,1533
LRIG1,NDE,1521
LOC107983978,NF,1519
STAT5A,NDE,1508
LOC107984978,NF,1508
ZKSCAN8,NDE,1506
LOC107984217,NF,1503
LINC00326,NDE,1497
CRYAB,NDE,1494
ASMT,NDE,1488
CYP3A4,NDE,1482
RPS20,NDE,1481
LOC105373526,NF,1479
SLC7A5,NDE,1478
ADM,NDE,1470
LOC105379633,NF,1469
LOC107987473,NF,1469
MIR6775,NDE,1468
HSPB2-C11orf52,NF,1466
HSPB2,NDE,1466
DICER1-AS1,NF,1465
LOC105375543,NF,1453
LLCFC1,NDE,1453
LOC102724146,NF,1451
LOC284930,NF,1448
LOC107984577,NF,1437
LINC00898,NF,1436
EMBP1,NF,1433
SCO1,NDE,1423
LINC02513,NF,1419
YWHAG,NDE,1418
AP4B1-AS1,NF,1414
FAM214B,NDE,1414
CASC16,NF,1414
LOC105370795,NF,1412
NLE1,NDE,1406
LOC101929294,NF,1399
SLC12A4,NDE,1399
PTPN22,NF,1399
UBXN8,NDE,1398
CGRRF1,NDE,1390
DCUN1D1,NDE,1388
LOC105374246,NF,1388
DEFB110,NDE,1384
LOC105379355,NF,1382
FMN1,NDE,1381
LOC105375723,NF,1380
EPB41L1,NDE,1380
LINC00470,NDE,1375
MTA1,NDE,1375
ADAMDEC1,NDE,1371
TBC1D9B,NDE,1365
C1orf137,NF,1363
LOC105378797,NF,1356
FGR,NDE,1346
LOC105370339,NF,1344
TIPARP,NDE,1342
LOC107986148,NF,1342
LOC102724928,NF,1337
PPP6C,NDE,1335
CEBPA-AS1,NF,1330
CEBPA,NDE,1330
WDR46,NDE,1329
OR51F2,NDE,1322
ANKAR,NDE,1321
LOC105375911,NF,1319
IGSF1,NDE,1319
SCG3,NDE,1318
LOC105373440,NF,1316
CHRDL2,NDE,1316
POLG,NDE,1313
MIR4451,NF,1311
MIER1,NDE,1308
LOC102724064,NF,1303
SPRED1,NDE,1303
LOC100506489,NF,1303
LOC105375461,NF,1303
MED1,NDE,1299
LOC107984554,NF,1297
LOC107984089,NF,1297
NOVA1,NDE,1292
LOC105370637,NF,1290
PSKH1,NDE,1289
CELF2,NDE,1289
LOC105370068,NF,1289
LINC02042,NF,1289
MARF1,NDE,1284
LOC107985738,NF,1283
IFNLR1,NDE,1283
